epoch,voltage
0.0,8.4
1.0,8.28
2.0,8.16
3.0,8.04
4.0,7.92
5.0,7.8
6.0,7.78
7.0,7.76
8.0,7.75
9.0,7.73
10.0,7.71
11.0,7.69
12.0,7.68
13.0,7.66
14.0,7.64
15.0,7.62
16.0,7.6
17.0,7.59
18.0,7.57
19.0,7.55
20.0,7.53
21.0,7.52
22.0,7.5
23.0,7.48
24.0,7.46
25.0,7.44
26.0,7.43
27.0,7.41
28.0,7.39
29.0,7.37
30.0,7.36
31.0,7.34
32.0,7.32
33.0,7.3
34.0,7.28
35.0,7.27
36.0,7.25
37.0,7.23
38.0,7.21
39.0,7.2
40.0,7.18
41.0,7.16
42.0,7.14
43.0,7.12
44.0,7.11
45.0,7.09
46.0,7.07
47.0,7.05
48.0,7.04
49.0,7.02
50.0,7.0
51.0,6.9
52.0,6.8
53.0,6.7
54.0,6.6
55.0,6.5
56.0,6.4
57.0,6.3
58.0,6.2
59.0,6.1
60.0,6.0
